observationID,mediaID,observationType,cameraSetupType,taxonID,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
81523d1f-f89f-4383-a805-ac5e1fdcefc7_1,81523d1f-f89f-4383-a805-ac5e1fdcefc7,animal,,5BSG3,Vulpes vulpes,1,adult,,,,,,human,Peter Desmet,,,,
f4a5ec0f-9376-49a3-b001-be4f4348b86d_1,f4a5ec0f-9376-49a3-b001-be4f4348b86d,animal,,5BSG3,Vulpes vulpes,1,adult,,,,,,human,Peter Desmet,,,,
5e8f4538-8f52-4cd5-84d0-db7e5b5ea192_1,5e8f4538-8f52-4cd5-84d0-db7e5b5ea192,blank,,,,,,,,,,,human,Peter Desmet,,,,
ee7f52c4-d248-47bd-a2b0-2648f34c9b64_1,ee7f52c4-d248-47bd-a2b0-2648f34c9b64,blank,,,,,,,,,,,human,Peter Desmet,,,,
825e9af1-c160-4a75-864a-6ff014e05c6b_1,825e9af1-c160-4a75-864a-6ff014e05c6b,blank,,,,,,,,,,,human,Peter Desmet,,,,
2e611f13-9519-4706-9843-49bbfec48c00_1,2e611f13-9519-4706-9843-49bbfec48c00,blank,,,,,,,,,,,human,Peter Desmet,,,,
e9c1a382-40f4-4f28-9bc0-ad5b48ca8ed3_1,e9c1a382-40f4-4f28-9bc0-ad5b48ca8ed3,animal,,3Y9VW,Martes foina,1,adult,,,,,,human,Peter Desmet,,,,
3e0b2565-5aea-4128-b990-a1c42249a45b_1,3e0b2565-5aea-4128-b990-a1c42249a45b,animal,,3Y9VW,Martes foina,1,adult,,,,,,human,Peter Desmet,,,,
58501b0d-0c6f-47e3-9e4a-ed39f41cc213_1,58501b0d-0c6f-47e3-9e4a-ed39f41cc213,animal,,3Y9VW,Martes foina,1,adult,,,,,,human,Peter Desmet,,,,
9bbdcb82-0c79-4fb3-8132-c7b9f6120bd0_1,9bbdcb82-0c79-4fb3-8132-c7b9f6120bd0,animal,,3Y9VW,Martes foina,1,adult,,,,,,human,Peter Desmet,,,,
9a4c6e25-327d-481e-9060-c08b3848ed72_1,9a4c6e25-327d-481e-9060-c08b3848ed72,animal,,3Y9VW,Martes foina,1,adult,,,,,,human,Peter Desmet,,,,
eb72150b-fa00-4987-b1d2-557f8d66e6fc_1,eb72150b-fa00-4987-b1d2-557f8d66e6fc,animal,,3Y9VW,Martes foina,1,adult,,,,,,human,Peter Desmet,,,,
9d18218f-b4d1-4eb8-b9d2-b4b5adc265bd_1,9d18218f-b4d1-4eb8-b9d2-b4b5adc265bd,animal,,3Y9VW,Martes foina,1,adult,,,,,,human,Peter Desmet,,,,
22d2744a-f87b-4ee7-8037-9815f6a96c5e_1,22d2744a-f87b-4ee7-8037-9815f6a96c5e,animal,,3Y9VW,Martes foina,1,adult,,,,,,human,Peter Desmet,,,,
b1035c2c-7e19-4369-b4f1-11b5dc281269_1,b1035c2c-7e19-4369-b4f1-11b5dc281269,animal,,3Y9VW,Martes foina,1,adult,,,,,,human,Peter Desmet,,,,
5549cb29-d0a8-43c8-9e8f-34041658c907_1,5549cb29-d0a8-43c8-9e8f-34041658c907,animal,,3Y9VW,Martes foina,1,adult,,,,,,human,Peter Desmet,,,,
b1d97da9-9008-4a5b-a6a8-55a3cdc52c89_1,b1d97da9-9008-4a5b-a6a8-55a3cdc52c89,blank,,,,,,,,,,,human,Peter Desmet,,,,
66b353fe-41a1-45ed-9854-fb842a610a13_1,66b353fe-41a1-45ed-9854-fb842a610a13,animal,,44QYC,Mustela putorius,1,adult,,,,,,human,Peter Desmet,,,,
70e796b3-2ab2-4e9d-8e52-65f1031deb0e_1,70e796b3-2ab2-4e9d-8e52-65f1031deb0e,animal,,44QYC,Mustela putorius,1,adult,,,,,,human,Peter Desmet,,,,
920395a6-cfa6-4ec6-9eba-d0c3a0301b50_1,920395a6-cfa6-4ec6-9eba-d0c3a0301b50,animal,,44QYC,Mustela putorius,1,adult,,,,,,human,Peter Desmet,,,,
00459931-4c83-42fb-b73c-ef37fc95835b_1,00459931-4c83-42fb-b73c-ef37fc95835b,blank,,,,,,,,,,,human,Peter Desmet,,,,
19e4aad1-dc43-4c15-b708-8b64ea6c1ca3_1,19e4aad1-dc43-4c15-b708-8b64ea6c1ca3,blank,,,,,,,,,,,human,Peter Desmet,,,,
98e3c269-18b7-4cbe-98e5-aade1934fed9_1,98e3c269-18b7-4cbe-98e5-aade1934fed9,blank,,,,,,,,,,,human,Peter Desmet,,,,
0369fc25-6f1a-4137-9ee2-d33abde96275_1,0369fc25-6f1a-4137-9ee2-d33abde96275,blank,,,,,,,,,,,human,Peter Desmet,,,,
887f68b4-4c47-4847-9547-a767e534c45e_1,887f68b4-4c47-4847-9547-a767e534c45e,blank,,,,,,,,,,,human,Peter Desmet,,,,
fd0b77ba-7695-4174-915d-0a7b7c217fe7_1,fd0b77ba-7695-4174-915d-0a7b7c217fe7,blank,,,,,,,,,,,human,Peter Desmet,,,,
5ca80c6b-6993-4974-8374-fd688d915e28_1,5ca80c6b-6993-4974-8374-fd688d915e28,blank,,,,,,,,,,,human,Peter Desmet,,,,
fb58a2b9-dc35-4297-a194-a340b082c8e8_1,fb58a2b9-dc35-4297-a194-a340b082c8e8,animal,,V2,Aves,1,,,,,,,human,Peter Desmet,,,,
0bb2566e-a1b8-48d8-9c5b-3dbec3a7f832_1,0bb2566e-a1b8-48d8-9c5b-3dbec3a7f832,blank,,,,,,,,,,,human,Peter Desmet,,,,
a6a7a04c-9eb8-46dd-b1a2-fa3f1eb9def5_1,a6a7a04c-9eb8-46dd-b1a2-fa3f1eb9def5,blank,,,,,,,,,,,human,Peter Desmet,,,,
f47b05e6-bbfb-4844-bd2d-004104cb7c08_1,f47b05e6-bbfb-4844-bd2d-004104cb7c08,blank,,,,,,,,,,,human,Peter Desmet,,,,
8c541e7b-c1ce-4fa7-b6e2-6167ee336471_1,8c541e7b-c1ce-4fa7-b6e2-6167ee336471,blank,,,,,,,,,,,human,Peter Desmet,,,,
e6c2cb72-2b65-4384-a428-e066ab5b0520_1,e6c2cb72-2b65-4384-a428-e066ab5b0520,blank,,,,,,,,,,,human,Peter Desmet,,,,
3945bb1f-5dd1-4df0-97a0-e7e1823a1531_1,3945bb1f-5dd1-4df0-97a0-e7e1823a1531,blank,,,,,,,,,,,human,Peter Desmet,,,,
ad62d7b9-2c4e-4527-be9a-725ca5295bb2_1,ad62d7b9-2c4e-4527-be9a-725ca5295bb2,blank,,,,,,,,,,,human,Peter Desmet,,,,
7b95c483-b427-4b32-96ab-eb478730e9b0_1,7b95c483-b427-4b32-96ab-eb478730e9b0,blank,,,,,,,,,,,human,Peter Desmet,,,,
f24826a2-dafa-408b-aa46-6629e847ff65_1,f24826a2-dafa-408b-aa46-6629e847ff65,blank,,,,,,,,,,,human,Peter Desmet,,,,
6adcb0d3-daa3-4d24-8c1a-d870d1e8aed1_1,6adcb0d3-daa3-4d24-8c1a-d870d1e8aed1,blank,,,,,,,,,,,human,Peter Desmet,,,,
6cfb86c2-fd44-4477-a5dd-88ed796fc4bd_1,6cfb86c2-fd44-4477-a5dd-88ed796fc4bd,blank,,,,,,,,,,,human,Peter Desmet,,,,
